,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Company,Car,Age
461,D 4D G,Manual,127926,1st Owner,Diesel,643399,Toyota,Corolla Altis,8
462,SPORTZ 1.4 CRDI,Manual,72852,1st Owner,Diesel,334499,Hyundai,i20,8
463,VDI ABS,Manual,49425,1st Owner,Diesel,528899,Maruti,Ertiga,9
464,VXI,Manual,20681,1st Owner,Petrol,442099,Maruti,S PRESSO,2
465,2.0 TDI QUATTRO,Automatic,89740,1st Owner,Diesel,1082799,Audi,Q3,9
466,ZDI,Manual,44427,1st Owner,Diesel,631599,Maruti,Vitara Brezza,6
467,VDI,Manual,80192,1st Owner,Diesel,352799,Maruti,Ritz,8
468,ALPHA 1.3 DDIS,Manual,79796,2nd Owner,Diesel,519349,Maruti,IGNIS,5
469,RXS 85 PS,Manual,90520,1st Owner,Diesel,692999,Renault,Duster,4
470,ASTA 1.1 CRDI,Manual,90449,1st Owner,Diesel,371599,Hyundai,Grand i10,7
471,85 PS RXL OPT,Manual,84717,1st Owner,Diesel,383799,Renault,Duster,8
472,ZETA 1.2 K12 AMT,Automatic,63892,2nd Owner,Petrol,591899,Maruti,Baleno,5
473,1.5TITANIUM TDCI,Manual,51765,2nd Owner,Diesel,784549,Ford,Ecosport,3
474,VDI+ SHVS,Manual,88616,1st Owner,Diesel,534599,Maruti,Ciaz,6
475,1.4 S PLUS,Manual,51763,1st Owner,Diesel,725499,Hyundai,Creta,7
476,VXI,Manual,45891,2nd Owner,Petrol,372099,Maruti,Alto K10,5
477,VDI+ SHVS,Manual,83350,1st Owner,Diesel,639999,Maruti,Ciaz,5
478,2WD AT GL DIESEL,Automatic,88655,1st Owner,Diesel,1381299,Hyundai,Tucson New,5
479,ZDI,Manual,51088,2nd Owner,Diesel,548499,Maruti,Swift,5
480,S10,Manual,74939,1st Owner,Diesel,1125199,Mahindra,Scorpio,6
481,VXI,Manual,56783,1st Owner,Petrol,376399,Maruti,Alto K10,5
482,VDI OPT,Manual,67116,2nd Owner,Diesel,618799,Maruti,Vitara Brezza,5
483,ALPHA 1.3,Manual,46980,1st Owner,Diesel,601899,Maruti,S Cross,7
484,E 220 CDI ELEGANCE,Automatic,53524,1st Owner,Diesel,1200899,Mercedes,Benz E Class,9
485,30 TDI PREMIUM PLUS,Automatic,33109,1st Owner,Diesel,1793399,Audi,Q5,8
486,VXI,Manual,31642,1st Owner,Petrol,378849,Maruti,Alto,1
487,VDI OPT,Manual,74082,1st Owner,Diesel,646099,Maruti,Vitara Brezza,5
488,1.5TITANIUM TDCI,Manual,55513,1st Owner,Diesel,753399,Ford,Ecosport,4
489,DELTA DDIS 190,Manual,69270,1st Owner,Diesel,555999,Maruti,Baleno,6
490,VDI OPT,Manual,148572,1st Owner,Diesel,636399,Maruti,Vitara Brezza,5
491,RXZ AMT 110 PS,Automatic,89143,2nd Owner,Diesel,724399,Renault,Duster,5
492,1.5TITANIUM TDCI,Manual,74204,1st Owner,Diesel,777299,Ford,Ecosport,4
493,520D LUXURY LINE,Automatic,83330,2nd Owner,Diesel,1371599,BMW,5 Series,9
494,ZDI,Manual,81842,1st Owner,Diesel,705399,Maruti,Vitara Brezza,5
495,1.6 SX CRDI,Manual,85776,1st Owner,Diesel,756599,Hyundai,Creta,6
496,1.5TITANIUM TDCI,Manual,42949,1st Owner,Diesel,817199,Ford,Ecosport,3
497,SV MT DIESEL,Manual,86449,1st Owner,Diesel,454099,Honda,City,8
498,ZDI PLUS DUAL TONE,Manual,69262,2nd Owner,Diesel,649099,Maruti,Vitara Brezza,5
499,SPORTZ (O) 1.4,Manual,73924,1st Owner,Diesel,421099,Hyundai,Elite i20,8
500,ZDI PLUS,Manual,75754,2nd Owner,Diesel,664799,Maruti,Vitara Brezza,5
501,ASTA 1.4 CRDI,Manual,89083,2nd Owner,Diesel,399799,Hyundai,i20,8
502,VDI,Manual,79417,2nd Owner,Diesel,572799,Maruti,Vitara Brezza,6
503,1.5 TREND+ TDCI,Manual,113206,1st Owner,Diesel,542999,Ford,Ecosport,5
504,VXI,Manual,68078,1st Owner,Petrol,353599,Maruti,Alto K10,4
505,1.5 TITANIUMTDCI OPT,Manual,81227,2nd Owner,Diesel,415499,Ford,Ecosport,9
506,SPORTZ 1.1 CRDI,Manual,73894,1st Owner,Diesel,382199,Hyundai,Grand i10,7
507,S10,Manual,87784,2nd Owner,Diesel,963499,Mahindra,Scorpio,6
508,1.5TITANIUM TDCI,Manual,71633,1st Owner,Diesel,649099,Ford,Ecosport,5
509,VDI OPT,Manual,88480,1st Owner,Diesel,630599,Maruti,Vitara Brezza,5
510,1.5 TREND+ TDCI,Manual,35215,1st Owner,Diesel,575699,Ford,Ecosport,6
511,ZETA DDIS 190,Manual,70755,1st Owner,Diesel,476199,Maruti,Baleno,7
512,1.5 TITANIUMTDCI OPT,Manual,76208,1st Owner,Diesel,425899,Ford,Ecosport,9
513,VDI OPT,Manual,62861,1st Owner,Diesel,635399,Maruti,Vitara Brezza,6
514,85 PS RXL,Manual,70946,1st Owner,Diesel,650099,Renault,Duster,6
515,VDI ABS,Manual,92673,1st Owner,Diesel,376599,Maruti,Swift,7
516,CROSS VD,Manual,83974,2nd Owner,Diesel,476099,Toyota,Etios,8
517,ALPHA 1.3,Manual,75945,1st Owner,Diesel,604599,Maruti,S Cross,7
518,ZDI PLUS,Manual,90969,1st Owner,Diesel,716599,Maruti,Vitara Brezza,5
519,1.5TITANIUM TDCI,Manual,51221,2nd Owner,Diesel,448399,Ford,Ecosport,8
520,1.5 TDCI TITANIUM PLUS,Manual,26892,1st Owner,Diesel,763499,Ford,Ecosport,5
521,ZDI PLUS,Manual,72183,1st Owner,Diesel,639899,Maruti,Vitara Brezza,6
522,VDI ABS,Manual,69898,1st Owner,Diesel,399499,Maruti,Swift,7
523,VDI ABS,Manual,83583,1st Owner,Diesel,398899,Maruti,Swift,7
524,ZDI,Manual,82051,1st Owner,Diesel,620799,Maruti,Vitara Brezza,5
525,ZDI,Manual,54904,1st Owner,Diesel,649099,Maruti,Vitara Brezza,6
526,VDI ABS,Manual,52839,1st Owner,Diesel,494399,Maruti,Swift,5
527,ZDI PLUS,Manual,57707,1st Owner,Diesel,674199,Maruti,Vitara Brezza,6
528,ZDI,Manual,61982,1st Owner,Diesel,680799,Maruti,Vitara Brezza,5
529,ALPHA SHVS,Manual,38780,2nd Owner,Diesel,822299,Maruti,S Cross,4
530,VDI ABS,Manual,86816,1st Owner,Diesel,401499,Maruti,Swift,7
531,ZETA 1.3,Manual,37521,1st Owner,Diesel,738199,Maruti,S Cross,5
532,VDI ABS,Manual,56999,1st Owner,Diesel,411099,Maruti,Swift,7
533,VDI ABS,Manual,76491,1st Owner,Diesel,394599,Maruti,Swift,7
534,VDI OPT,Manual,98820,1st Owner,Diesel,568999,Maruti,Vitara Brezza,6
535,1.5 TITANIUMTDCI OPT,Manual,72887,1st Owner,Diesel,694399,Ford,Ecosport,5
536,ALPHA SHVS,Manual,96787,2nd Owner,Diesel,709199,Maruti,S Cross,5
537,ZDI,Manual,102367,1st Owner,Diesel,580399,Maruti,Vitara Brezza,6
538,ALPHA SHVS,Manual,91763,2nd Owner,Diesel,695599,Maruti,S Cross,5
539,ZDI PLUS DUAL TONE,Manual,90492,1st Owner,Diesel,685599,Maruti,Vitara Brezza,6
540,ZDI,Manual,73654,1st Owner,Diesel,385499,Maruti,Swift,8
541,ERA 1.1 IRDE,Manual,29540,2nd Owner,Petrol,266199,Hyundai,i10,8
542,K2 6 STR,Manual,19955,1st Owner,Petrol,408099,Mahindra,KUV 100 NXT,4
543,A,Manual,22898,2nd Owner,Petrol,242999,Datsun,Redi Go,4
544,LXI,Manual,9371,1st Owner,Petrol,586699,Maruti,Swift,2
545,SHARP HYBRID PETROL,Manual,3587,1st Owner,Petrol,1819949,MG,HECTOR PLUS,1
546,VXI,Manual,87376,1st Owner,Petrol,269699,Maruti,Wagon R 1.0,9
547,LXI,Manual,17435,1st Owner,Petrol,592499,Maruti,Swift,2
548,LXI,Manual,48604,2nd Owner,Petrol,237899,Maruti,Alto 800,8
549,VXI,Manual,23629,2nd Owner,Petrol,231699,Maruti,A Star,11
550,ERA PLUS,Manual,29651,1st Owner,Petrol,257999,Hyundai,Eon,8
551,SIGMA 1.2 K12,Manual,13525,1st Owner,Petrol,600999,Maruti,Baleno,2
552,VXI,Manual,38042,1st Owner,Petrol,237899,Maruti,Alto K10,11
553,SPORTZ 1.2 AT,Automatic,38983,1st Owner,Petrol,202099,Hyundai,i10,13
554,VXI,Manual,20730,1st Owner,Petrol,280999,Maruti,Swift,12
555,RXL,Manual,867,2nd Owner,Petrol,378299,Renault,Kwid,3
